target	representative_code	rank1	rank2	rank3	rank4	rank5	spearman	kendall	predictive_index
46	4f3c	4f3c	4f2w	1nc3	1y6r	1nc1	0.7	0.6	0.6689691817215728
47	1o3f	1uto	1k1i	4abg	1o3f	3gy4	-0.49999999999999994	-0.39999999999999997	-0.4892286309937456
48	2vw5	2yge	2wer	2vw5	2iwx	2fxs	-0.09999999999999999	0.0	-0.20606826801517064
49	3kr8	3kr8	4j21	4kzu	4j3l	4kzq	0.7	0.6	0.6811320754716982
50	2x00	2x00	2wnc	2xys	2wn9	2ymd	0.6	0.39999999999999997	0.7626752966558793
51	3nw9	3nw9	3oe4	3oe5	3ozs	3ozt	0.9999999999999999	0.9999999999999999	1.0
52	3zso	3ao4	3zt2	3zsx	4cig	3zso	-0.9999999999999999	-0.9999999999999999	-1.0
53	2xb8	3n86	3n76	2xb8	4ciw	3n7a	0.6	0.39999999999999997	0.602446483180428
54	4w9h	4w9c	4w9h	4w9l	4w9i	4bkt	0.3	0.19999999999999998	0.3758300132802126
55	3uex	3uew	3uex	3uev	3ueu	3nq9	0.8999999999999998	0.7999999999999999	0.910948905109489
56	4gr0	4gr0	3tsk	3ehy	3lka	3nx7	0.39999999999999997	0.39999999999999997	0.4614894971355825
57	1u1b	3d6q	1u1b	3dxg	1o0h	1w4o	-0.09999999999999999	0.0	-0.0802469135802469
